n, t, workers, frac, accesses, time
500, 2000, 1, 0.0125, 5, 35.822342495433986
500, 2000, 2, 0.0125, 5, 18.473227235488594
500, 2000, 4, 0.0125, 5, 9.815575819462538
500, 2000, 8, 0.0125, 5, 5.634821738116443
500, 2000, 15, 0.0125, 5, 5.268408115953207
500, 4000, 1, 0.0125, 5, 67.93157750368118
500, 4000, 2, 0.0125, 5, 34.530800772830844
500, 4000, 4, 0.0125, 5, 17.78797153569758
500, 4000, 8, 0.0125, 5, 9.53715416137129
500, 4000, 15, 0.0125, 5, 6.026271857321262
500, 8000, 1, 0.0125, 5, 131.5373229244724
500, 8000, 2, 0.0125, 5, 66.58784031309187
500, 8000, 4, 0.0125, 5, 33.85172263160348
500, 8000, 8, 0.0125, 5, 17.408770505338907
500, 8000, 15, 0.0125, 5, 9.938385847955942
500, 16000, 1, 0.0125, 5, 259.7744013518095
500, 16000, 2, 0.0125, 5, 130.7663868702948
500, 16000, 4, 0.0125, 5, 65.96776368748397
500, 16000, 8, 0.0125, 5, 33.501393414102495
500, 16000, 15, 0.0125, 5, 18.472255947999656
500, 32000, 1, 0.0125, 5, 516.3879683893174
500, 32000, 2, 0.0125, 5, 258.6284804744646
500, 32000, 4, 0.0125, 5, 130.0659358240664
500, 32000, 8, 0.0125, 5, 65.71245599910617
500, 32000, 15, 0.0125, 5, 35.47187423333526
500, 64000, 1, 0.0125, 5, 1028.778936333023
500, 64000, 2, 0.0125, 5, 514.9291925616562
500, 64000, 4, 0.0125, 5, 258.1576951574534
500, 64000, 8, 0.0125, 5, 129.84454526845366
500, 64000, 15, 0.0125, 5, 69.78697465267032
