n, t, workers, frac, accesses, time
9, 1000, 15, 0.0125, 5, 0.7397488793358207
9, 2000, 1, 0.0125, 5, 5.739828693680465
9, 2000, 2, 0.0125, 5, 2.927765293046832
9, 2000, 4, 0.0125, 5, 1.5516519509255886
9, 2000, 8, 0.0125, 5, 0.8657294074073434
9, 2000, 15, 0.0125, 5, 0.7769377501681447
9, 4000, 1, 0.0125, 5, 10.932863974012434
9, 4000, 2, 0.0125, 5, 5.5222673481330276
9, 4000, 4, 0.0125, 5, 2.830593674443662
9, 4000, 8, 0.0125, 5, 1.5001816814765334
9, 4000, 15, 0.0125, 5, 0.8985034674406052
9, 8000, 1, 0.0125, 5, 21.398714743554592
9, 8000, 2, 0.0125, 5, 10.678656508214772
9, 8000, 4, 0.0125, 5, 5.408689484000206
9, 8000, 8, 0.0125, 5, 2.780947159975767
9, 8000, 15, 0.0125, 5, 1.5750901587307453
9, 16000, 1, 0.0125, 5, 41.950507283210754
9, 16000, 2, 0.0125, 5, 21.00601360667497
9, 16000, 4, 0.0125, 5, 10.566093648783863
9, 16000, 8, 0.0125, 5, 5.378608186729252
9, 16000, 15, 0.0125, 5, 2.935997481457889
9, 32000, 1, 0.0125, 5, 82.81554287672043
9, 32000, 2, 0.0125, 5, 41.59773573093116
9, 32000, 4, 0.0125, 5, 20.9349350836128
9, 32000, 8, 0.0125, 5, 10.556951860897243
9, 32000, 15, 0.0125, 5, 5.693386524915695
9, 64000, 1, 0.0125, 5, 165.0761618744582
9, 64000, 2, 0.0125, 5, 82.94890974089503
9, 64000, 4, 0.0125, 5, 41.61512951925397
9, 64000, 8, 0.0125, 5, 20.93779707979411
9, 64000, 15, 0.0125, 5, 11.237057764083147
