n, t, workers, frac, accesses, time
8, 1000, 1, 0, 1, 0.9560082852840424
8, 1000, 2, 0, 1, 0.49014752823859453
8, 1000, 4, 0, 1, 0.25873285066336393
8, 1000, 8, 0, 1, 0.1500807572156191
8, 1000, 15, 0, 1, 0.14815098699182272
8, 2000, 1, 0, 1, 1.7065222905948758
8, 2000, 2, 0, 1, 0.8626008639112115
8, 2000, 4, 0, 1, 0.45117422472685575
8, 2000, 8, 0, 1, 0.24334400054067373
8, 2000, 15, 0, 1, 0.15451358817517757
8, 4000, 1, 0, 1, 3.268697679042816
8, 4000, 2, 0, 1, 1.6387849980965257
8, 4000, 4, 0, 1, 0.8372190557420254
8, 4000, 8, 0, 1, 0.4327811738476157
8, 4000, 15, 0, 1, 0.24735533352941275
8, 8000, 1, 0, 1, 6.308919578790665
8, 8000, 2, 0, 1, 3.1647506952285767
8, 8000, 4, 0, 1, 1.5987807223573327
8, 8000, 8, 0, 1, 0.8170151589438319
8, 8000, 15, 0, 1, 0.45183860417455435
8, 16000, 1, 0, 1, 12.457571795210242
8, 16000, 2, 0, 1, 6.224958008155227
8, 16000, 4, 0, 1, 3.13356227055192
8, 16000, 8, 0, 1, 1.5901553882285953
8, 16000, 15, 0, 1, 0.8654970694333315
8, 32000, 1, 0, 1, 24.66281235124916
8, 32000, 2, 0, 1, 12.367527379654348
8, 32000, 4, 0, 1, 6.205397609621286
8, 32000, 8, 0, 1, 3.126706368289888
8, 32000, 15, 0, 1, 1.7009469037875533
8, 64000, 1, 0, 1, 49.232135424390435
8, 64000, 2, 0, 1, 24.609956389293075
8, 64000, 4, 0, 1, 12.363461321219802
8, 64000, 8, 0, 1, 6.1911573791876435
8, 64000, 15, 0, 1, 3.3671674141660333
8, 1000, 1, 0, 5, 0.9634969979524612
8, 1000, 2, 0, 5, 0.49552730843424797
8, 1000, 4, 0, 5, 0.27399337012320757
8, 1000, 8, 0, 5, 0.17666858155280352
8, 1000, 15, 0, 5, 0.1870781658217311
8, 2000, 1, 0, 5, 1.7252694517374039
8, 2000, 2, 0, 5, 0.8726437566801906
8, 2000, 4, 0, 5, 0.4577032420784235
