n, t, workers, frac, accesses, time
500, 2000, 1, 0.0125, 5, 35.2676563244313
500, 2000, 2, 0.0125, 5, 18.149285221472383
500, 2000, 4, 0.0125, 5, 9.64684122428298
500, 2000, 8, 0.0125, 5, 5.461877014487982
500, 2000, 15, 0.0125, 5, 4.844219955615699
500, 4000, 1, 0.0125, 5, 69.09534647595137
500, 4000, 2, 0.0125, 5, 34.48223092965782
500, 4000, 4, 0.0125, 5, 17.586129902862012
500, 4000, 8, 0.0125, 5, 9.294114423915744
500, 4000, 15, 0.0125, 5, 5.821731209754944
500, 8000, 1, 0.0125, 5, 131.22270110901445
500, 8000, 2, 0.0125, 5, 66.56772766727954
500, 8000, 4, 0.0125, 5, 33.706043899059296
500, 8000, 8, 0.0125, 5, 17.277956086210907
500, 8000, 15, 0.0125, 5, 9.81763902772218
500, 16000, 1, 0.0125, 5, 260.39023796096444
500, 16000, 2, 0.0125, 5, 130.98379160556942
500, 16000, 4, 0.0125, 5, 65.96352112852037
500, 16000, 8, 0.0125, 5, 33.420772415585816
500, 16000, 15, 0.0125, 5, 18.278159257024527
500, 32000, 1, 0.0125, 5, 515.6070784823969
500, 32000, 2, 0.0125, 5, 259.446913161315
500, 32000, 4, 0.0125, 5, 130.41884527355433
500, 32000, 8, 0.0125, 5, 65.64542800374329
500, 32000, 15, 0.0125, 5, 35.38134106528014
500, 64000, 1, 0.0125, 5, 1028.3843435989693
500, 64000, 2, 0.0125, 5, 515.5893365731463
500, 64000, 4, 0.0125, 5, 258.47799427900463
500, 64000, 8, 0.0125, 5, 129.76455189939588
500, 64000, 15, 0.0125, 5, 69.67859320156276
500, 1000, 1, 0.025, 1, 19.336938478052616
500, 1000, 2, 0.025, 1, 10.485851245932281
500, 1000, 4, 0.025, 1, 5.865236638113856
500, 1000, 8, 0.025, 1, 3.5466431779786944
500, 1000, 15, 0.025, 1, 3.72835448756814
500, 2000, 1, 0.025, 1, 35.43675317429006
500, 2000, 2, 0.025, 1, 19.199894757941365
500, 2000, 4, 0.025, 1, 10.092655341140926
500, 2000, 8, 0.025, 1, 5.688357654958963
500, 2000, 15, 0.025, 1, 4.547451391816139
500, 4000, 1, 0.025, 1, 69.2265104688704
500, 4000, 2, 0.025, 1, 35.92935475055128
500, 4000, 4, 0.025, 1, 19.513342042453587
500, 4000, 8, 0.025, 1, 10.45428910665214
500, 4000, 15, 0.025, 1, 6.505650053732097
500, 8000, 1, 0.025, 1, 131.79631358198822
500, 8000, 2, 0.025, 1, 68.83149006403983
500, 8000, 4, 0.025, 1, 37.75332753546536
500, 8000, 8, 0.025, 1, 19.714317593723536
500, 8000, 15, 0.025, 1, 11.569056088104844
500, 16000, 1, 0.025, 1, 260.5188798988238
500, 16000, 2, 0.025, 1, 134.55834555532783
